GeneSymbol,GSM1498849,GSM1498850,GSM1498851,GSM1498852,GSM1498853,GSM1498854,GSM1498855,GSM1498856
A1CF,6.1684452,7.132283,7.13270805,6.28398185,5.752754,5.7629416,5.05056905,4.8770805
A2M,12.81166,15.112969,15.112969,12.805885,14.418367,14.404677,17.127666,17.127666
A4GNT,9.4586315,3.6166062,2.4315624,9.377925,3.3580818,3.5282896,2.4474263,2.549974
AAAS,11.0015825,10.656238,10.6725375,11.004115,11.003957,10.9971725,10.714908,10.7211695
AACS,4.32431,3.3532538,2.4315624,4.088551,5.061152,4.995973,3.783496,3.51529
AADACL2,4.8347383,5.48954,5.6124406,5.112564,5.7694774,5.825394,5.398469,5.3865075
AADACL3,6.6009016,6.3183637,6.2135177,6.7216496,6.4442596,6.404779,5.828891,5.8572707
AADACL4,4.784764,4.8450723,5.1005526,4.7152286,5.0940866,5.0632596,4.383973,4.0102615
AADAT,5.9045167,5.73226,5.727701,5.910343,7.0451665,7.0917225,6.501225,6.4273744
AAMDC,11.546373,10.882246,10.879876,11.544373,10.23568,10.232692,10.558926,10.543712
AAMP,5.5416727,5.460389,5.4580445,5.4444933,6.3668566,6.4150405,5.0767384,4.8489003
AANAT,6.2573605,5.60090365,5.49886415,6.28307315,5.8295575,5.7711301,5.162328,5.1831622
AAR2,8.684059,8.543456,8.54388,8.655136,8.702944,8.690897,8.7175455,8.691557
AARD,6.639014,5.705304,5.6100354,6.758675,6.0163975,5.97083,6.619427,6.386851
AASDH,11.1813345,10.205757,10.1909275,11.217058,9.846775,9.845399,10.538768,10.549625
AASDHPPT,6.903096,7.69033,7.71014,7.0428615,8.387656,8.319238,7.919245,7.8644195
AATF,7.8775797,7.906084,7.977893,7.9413166,10.147873,10.100794,8.532532,8.564622
AATK,6.6266627,6.925358,6.808126,6.739883,6.9659076,6.992974,7.4617143,7.450712
ABAT,7.429059,7.180361,7.2201552,7.3678045,6.479077,6.532621,6.2228885,6.3299723
ABCA1,5.75405,6.5959926,6.50331,6.0311537,5.0741343,4.8928976,7.225329,7.2875
ABCA13,4.541266,4.804491,4.6460314,4.8597574,4.3099256,4.416414,2.8044229,3.365629
ABCA2,5.331272,5.802345,5.875642,5.3711476,4.4172325,4.983336,5.363747,5.1324534
ABCA5,7.9917307,7.076427,7.2592797,8.026168,8.044322,8.021377,6.5201783,6.4338627
ABCA6,5.944212,7.450397,7.43479,5.884112,7.79743,7.7377567,8.498306,8.497809
ABCA8,3.0708623,3.6500397,3.521193,2.4148831,5.0438213,5.2123747,5.0434465,5.0950146
ABCB1,3.0221715,4.2262096,4.863375,4.241551,5.3325887,5.2363067,4.8785944,4.703656
ABCB10,5.064612,3.6879094,3.60748,5.1867476,5.248184,5.1039104,5.051347,4.92313
ABCB11,7.7662807,6.740447,6.6882977,7.7163296,6.4361196,6.406885,7.099818,7.1095977
ABCB4,4.135019267,6.3122351,6.190737567,4.153306933,3.851958633,3.738375333,6.536858433,6.517726567
ABCB5,4.612186033,5.5224367,5.536556867,4.820396867,4.7974409,4.777303533,5.2180968,5.1856683
ABCB7,6.8606806,7.175749,7.2074423,6.7589993,8.56845,8.544539,8.295564,8.272352
ABCB8,10.598415,10.076579,10.10263,10.576272,11.076794,11.111316,10.244966,10.231451
ABCB9,3.5262308,2.4042,2.4315624,3.099557,4.441602,4.0604453,3.8781948,4.0362034
ABCC1,5.13139754,4.41694638,4.42198536,5.00734422,4.60991102,4.66314658,4.46972972,4.58371498
ABCC10,4.3960876,4.153973,4.326179,3.8956602,4.907845,4.798491,4.4846435,4.410758
ABCC11,6.1498623,4.2284923,4.738104,6.27833,3.4186926,3.816339,5.0226827,4.898244
ABCC12,9.083781,7.982059,7.975811,9.058985,6.633555,6.7036448,8.103937,8.142189
ABCC2,5.2679043,5.0979958,5.288778,4.961442,5.823308,5.7220883,5.5933332,8.255689
ABCC3,11.625156,11.210581,11.2026905,11.5999385,11.0610045,11.077795,10.1661305,10.179223
ABCC4,5.5073372,5.956903,6.019925,5.42797035,7.8277123,7.771732,7.85136385,7.842636
ABCC5,5.6880665,5.6718407,5.5493803,5.790275,7.49193,7.557473,6.528906,6.4772043
ABCC6,5.2031465,5.0759783,5.061152,4.9209275,5.2313128,5.1902966,4.1076756,4.235405
