edge,p_value
SLA2+CD4,0.0179374504259407
GATA3+CD4,5.505517324851939e-06
B3GAT1+CD4,0.0085296093877766
SEC16A+USO1,0.0158297746926477
COPB2+USO1,0.000812641135531
TRAPPC4+USO1,0.0325005459820438
UBQLN2+AP2M1,0.0006160285303681
TMED10+ARF4,0.0002597091969658
CSTA+CST3,2.392415424221283e-06
ENO3+GAPDH,0.024630281330628
ENO4+GAPDH,0.0021992997048068
RILPL1+GAPDH,0.0136092374377049
GFAP+GAPDH,0.0380086896589912
PRPH2+RD3,6.804478856220955e-05
CNGB3+RD3,0.0011021288405752
AIPL1+RD3,0.0032595391124852
COPB2+ARF1,5.664076284425545e-06
PI4KB+ARF1,0.0123252897126821
ARFGEF2+ARF1,0.0362035635814126
WASF1+ARF1,2.611255759425569e-10
BNIP1+NSF,5.443395829904128e-05
BMP2K+CLTCL1,0.0479242889170105
DLST+CLTCL1,0.0024500043272282
SEC16B+LMAN1,0.0016021008743515
SEC16A+LMAN1,0.0001929120262475
TRAPPC2+LMAN1,5.9469301965109285e-05
FOXRED1+NDUFB4,0.0008309820314594
GCC1+VTI1A,0.000507709156127
VPS53+VTI1A,0.014847781233533
VPS52+VTI1A,0.0061101923397168
RAF1+AP3B1,0.014429735349079
AP4M1+AP3B1,0.0363401932220322
WNT1+ERBB2,0.0232740235698105
ERBB4+ERBB2,0.0318512628469333
CYP19A1+ERBB2,0.039508812613319
NRG1+ERBB2,0.0006779201651335
MUC4+ERBB2,0.0003721803788251
HSPA12B+RANBP2,0.0030517441973582
IPO5+RANBP2,2.6009526181197105e-05
GCKR+RANBP2,2.759479985035246e-05
HSPA9+RANBP2,0.0265996687676469
AHCTF1+RANBP2,0.0480863577480316
HSPA12A+RANBP2,0.0162351031900722
MCM3AP+RANBP2,0.0181709591541933
RAN+RANBP2,0.0294762391399683
TRPC4+PKD2,0.0299581625415746
SORT1+IGF2R,0.0385237525677652
VPS54+IGF2R,0.015702235266713
VPS51+IGF2R,0.0165016721522604
PACS1+IGF2R,0.0057459554476768
GGA1+IGF2R,0.0004093660311064
TUBB1+IST1,0.011720953786385
VAMP7+GOSR1,0.0025704937094878
SEC22A+GOSR1,0.0043845678387752
GORASP1+GOSR1,0.0010226772623216
STX2+GOSR1,0.000778058946314
NAPB+GOSR1,0.0240317553715048
PARD6A+CDC42,0.014408904424922
EPS8+CDC42,0.0334276115565877
TJP1+CDC42,0.0169962606539901
OPHN1+CDC42,0.0297936280122142
UFL1+CDC42,0.0046805385170363
FGD3+CDC42,0.0019524817458872
PRKCZ+CDC42,0.0406141269428465
MAP3K4+CDC42,0.0002894874681126
SNX9+CDC42,0.0003536052407684
DCC+CDC42,0.0146603699331081
EXOC3+CDC42,3.64338038939973e-05
RANBP2+HSPA12A,0.0162351031900722
GRIA2+GRIP1,0.0391547539466075
SEC24D+SEC61A1,0.0001957335591531
