edge,p_value,Gene1,Gene2
KRAS+YWHAZ,2.8452961188704567e-11,KRAS,YWHAZ
FGA+ITIH2,1.1009650141181139e-10,FGA,ITIH2
ERCC8+MSH3,1.5460917425103582e-10,ERCC8,MSH3
ARF1+WASF1,2.611255759425569e-10,ARF1,WASF1
KRAS+RASGRP4,4.4287217627501145e-10,KRAS,RASGRP4
BRK1+WASF1,4.589112310188602e-10,BRK1,WASF1
PLK1+RAD21,4.6215241852217404e-10,PLK1,RAD21
ACTR2+WASF1,8.391168626635873e-10,ACTR2,WASF1
CAPN7+OXNAD1,9.327738749594794e-10,CAPN7,OXNAD1
LRP1+SERPINE2,1.2935660985104424e-09,LRP1,SERPINE2
CCNB1+RRM1,2.227931885103661e-09,CCNB1,RRM1
AURKB+HMMR,2.504133007559439e-09,AURKB,HMMR
HSP90AB1+KIAA1109,3.029862472993788e-09,HSP90AB1,KIAA1109
PARP1+RFC3,3.955920926335228e-09,PARP1,RFC3
KRAS+SPTBN4,4.245679676000241e-09,KRAS,SPTBN4
HMGB1+IL1B,4.855020713385822e-09,HMGB1,IL1B
BAG1+HSPA4,5.123222288321445e-09,BAG1,HSPA4
CTNNA1+PIK3R1,5.3034825144003455e-09,CTNNA1,PIK3R1
PHKA1+PYGB,5.704437540081107e-09,PHKA1,PYGB
SUPT20H+SUPT7L,7.030331276933112e-09,SUPT20H,SUPT7L
DEGS1+SMPD2,7.064409173989318e-09,DEGS1,SMPD2
NFKB1+NFKBID,7.9865795471046e-09,NFKB1,NFKBID
AADAT+PDE10A,8.139343949458384e-09,AADAT,PDE10A
C4A+SERPING1,1.0200150273584656e-08,C4A,SERPING1
CTNNB1+KRAS,1.0857712919318289e-08,CTNNB1,KRAS
PGA5+SFTPC,1.1338045544874508e-08,PGA5,SFTPC
NCAPH+NEK2,1.4985074729871663e-08,NCAPH,NEK2
NUMBL+PARD3,1.73120710231805e-08,NUMBL,PARD3
TFB2M+UTP3,2.0510537233369583e-08,TFB2M,UTP3
CTNNA1+EXOC3,2.0994615091590093e-08,CTNNA1,EXOC3
TRMT6+WDR75,2.122904258030674e-08,TRMT6,WDR75
PSMD1+RUNX3,2.1612583365956832e-08,PSMD1,RUNX3
METTL1+N6AMT1,2.2774471574266812e-08,METTL1,N6AMT1
SLC47A2+SLCO1B1,2.51552382533878e-08,SLC47A2,SLCO1B1
TTC27+WDR12,2.5507976926399532e-08,TTC27,WDR12
KIF11+MCM6,2.7391788806890898e-08,KIF11,MCM6
CYFIP1+WASF1,2.9055259045729457e-08,CYFIP1,WASF1
CEP55+NEK2,2.9949815437356255e-08,CEP55,NEK2
BMP4+RUNX2,3.0806336376765145e-08,BMP4,RUNX2
CHTOP+THOC5,3.3946716108935374e-08,CHTOP,THOC5
FSCN2+PRPF3,3.4029705602166346e-08,FSCN2,PRPF3
POLR2J+UBL5,3.405343922749265e-08,POLR2J,UBL5
MRPL42+PTCD3,3.4786160252154266e-08,MRPL42,PTCD3
NT5E+NT5M,4.1471423729384194e-08,NT5E,NT5M
KRAS+SPTBN5,4.1534886874324274e-08,KRAS,SPTBN5
SLC47A1+SLCO1B1,4.356337310257483e-08,SLC47A1,SLCO1B1
C3+C4A,4.5377108787357945e-08,C3,C4A
ANGPT1+ANGPT4,4.6300957245924523e-08,ANGPT1,ANGPT4
MRPL11+MRPL51,4.6527996149087186e-08,MRPL11,MRPL51
ADH5+ALDH3B2,4.9274628833468446e-08,ADH5,ALDH3B2
RPL31+WDR31,5.2898646833915334e-08,RPL31,WDR31
GCKR+NUP43,5.6909292783706545e-08,GCKR,NUP43
DHX9+LARP6,5.75529109187896e-08,DHX9,LARP6
CD44+FOXP3,5.8780837909676936e-08,CD44,FOXP3
BIN3+MEPCE,6.063713470004438e-08,BIN3,MEPCE
IFT43+IFT81,6.065610377164867e-08,IFT43,IFT81
KIF18A+MAD2L1,6.449870722847693e-08,KIF18A,MAD2L1
PRPF3+PRPF6,7.355155021548598e-08,PRPF3,PRPF6
COG3+GOLGA1,7.61092166063927e-08,COG3,GOLGA1
LSM6+SF3B5,7.785922912940504e-08,LSM6,SF3B5
FADD+TNFRSF10B,8.024553457470638e-08,FADD,TNFRSF10B
ANLN+PLK1,8.104446587840093e-08,ANLN,PLK1
PIK3CD+RAF1,8.618954634433141e-08,PIK3CD,RAF1
GMNC+TOPBP1,8.620350655258079e-08,GMNC,TOPBP1
SATB2+SUMO3,9.984849776822845e-08,SATB2,SUMO3
DDX20+NUP210,1.0294502225427457e-07,DDX20,NUP210
GOLGA7+KRAS,1.0347389927501114e-07,GOLGA7,KRAS
CAND1+DTL,1.1158844986449249e-07,CAND1,DTL
COPB2+STT3B,1.129649034346109e-07,COPB2,STT3B
FAM131B+RAF1,1.1464183914221469e-07,FAM131B,RAF1
GTF2F2+HNRNPR,1.1760347985818649e-07,GTF2F2,HNRNPR
POLDIP3+THOC5,1.203476289452042e-07,POLDIP3,THOC5
C8G+LCN1,1.2150005538527186e-07,C8G,LCN1
CDC20+NEK2,1.2544022365850136e-07,CDC20,NEK2
TTC7B+WTIP,1.2700094279294374e-07,TTC7B,WTIP
PLK1+TPX2,1.3641600197771046e-07,PLK1,TPX2
ARID4B+MTA3,1.377320480959996e-07,ARID4B,MTA3
CAMK2B+KRAS,1.3855146022019742e-07,CAMK2B,KRAS
GRM1+TRPC1,1.396825740916247e-07,GRM1,TRPC1
AMDHD1+UROC1,1.4774375848711774e-07,AMDHD1,UROC1
B3GNT6+GCNT3,1.505137854173738e-07,B3GNT6,GCNT3
NCAPD2+NDC80,1.5335555417342074e-07,NCAPD2,NDC80
CUL4B+DCUN1D4,1.57184439633405e-07,CUL4B,DCUN1D4
MRPL11+RPL31,1.6325703454656178e-07,MRPL11,RPL31
PAPSS1+SUOX,1.638769738299685e-07,PAPSS1,SUOX
ANK1+OBSCN,1.6715522987937012e-07,ANK1,OBSCN
SRSF3+THOC5,1.6741739561355229e-07,SRSF3,THOC5
CCNB3+KIF11,1.7355400012992733e-07,CCNB3,KIF11
RPL13+RPS18,1.894493803029139e-07,RPL13,RPS18
LGR4+UBA52,1.994936428380773e-07,LGR4,UBA52
INPP5D+RAF1,2.0080264505094674e-07,INPP5D,RAF1
C4A+MBL2,2.0559434462968245e-07,C4A,MBL2
PSMA8+PSMC1,2.1449830769247185e-07,PSMA8,PSMC1
BMP4+RGMA,2.1980426744280653e-07,BMP4,RGMA
ATRIP+TOPBP1,2.348426545769799e-07,ATRIP,TOPBP1
ERCC8+RBBP5,2.4379674743543714e-07,ERCC8,RBBP5
SPON1+THSD1,2.466349756805405e-07,SPON1,THSD1
RBBP7+SUFU,2.4757892710954097e-07,RBBP7,SUFU
COQ2+COQ9,2.5032508014015424e-07,COQ2,COQ9
MKI67+NEK2,2.530880742483609e-07,MKI67,NEK2
INSR+PTPRA,2.547172484760023e-07,INSR,PTPRA
DDX1+TSEN15,2.5502845631915125e-07,DDX1,TSEN15
CGA+INHBB,2.565588919906646e-07,CGA,INHBB
IQGAP1+LGR4,2.5926457137331925e-07,IQGAP1,LGR4
ADAMTS4+THSD1,2.6318954427138544e-07,ADAMTS4,THSD1
NDUFA12+SDHB,2.6448439447076477e-07,NDUFA12,SDHB
MAGT1+STT3B,2.697255821822088e-07,MAGT1,STT3B
GORASP2+PLK1,2.7039002207841117e-07,GORASP2,PLK1
RAD51C+RFC1,2.7540707379719e-07,RAD51C,RFC1
MAP3K12+MBIP,3.009075957122193e-07,MAP3K12,MBIP
LSM3+RBM25,3.031073629267657e-07,LSM3,RBM25
SEMA5B+THSD1,3.255374420706327e-07,SEMA5B,THSD1
C4A+C8B,3.2914686764876373e-07,C4A,C8B
EIF3A+EIF4G3,3.475207169116341e-07,EIF3A,EIF4G3
HNRNPK+HNRNPR,3.517525955695997e-07,HNRNPK,HNRNPR
RBM39+SREK1,3.7189184051183113e-07,RBM39,SREK1
EPHA3+EPHA6,3.787543961538906e-07,EPHA3,EPHA6
ARSK+SUMF2,3.825791796364469e-07,ARSK,SUMF2
FCHSD1+SNX9,3.900000435625856e-07,FCHSD1,SNX9
PRPF6+PRPF8,3.915047702242355e-07,PRPF6,PRPF8
KITLG+ORC1,4.105042837421772e-07,KITLG,ORC1
UBA1+UBE2V2,4.228227359427263e-07,UBA1,UBE2V2
COMMD8+GABRB1,4.3863196993281346e-07,COMMD8,GABRB1
ELP6+PIPOX,4.523816089791659e-07,ELP6,PIPOX
SLC22A1+SLCO1B1,4.814470299609753e-07,SLC22A1,SLCO1B1
ADAMTS1+THSD1,5.067289888640286e-07,ADAMTS1,THSD1
CDT1+TOPBP1,5.141172573666829e-07,CDT1,TOPBP1
PIGH+PIGL,5.147591210382156e-07,PIGH,PIGL
IFI44L+OASL,5.23774476235434e-07,IFI44L,OASL
EIF3B+GTPBP4,5.297364899071107e-07,EIF3B,GTPBP4
COMMD2+UBE2D3,5.418849927051365e-07,COMMD2,UBE2D3
RPL24+WDR31,5.779037753771162e-07,RPL24,WDR31
PSMB1+PSMC1,5.99101724433283e-07,PSMB1,PSMC1
PEX11G+SLC25A17,6.069774456571076e-07,PEX11G,SLC25A17
DDX20+SNRPG,6.16981161995282e-07,DDX20,SNRPG
RPA3+XRCC6,6.197775206608357e-07,RPA3,XRCC6
APOO+MTX2,6.492729070232819e-07,APOO,MTX2
SRSF11+SRSF4,6.606814591711567e-07,SRSF11,SRSF4
RBPJ+RUNX3,6.687079379225272e-07,RBPJ,RUNX3
MRPL11+RPL23,6.875693706270956e-07,MRPL11,RPL23
MED16+MED6,7.00151832886567e-07,MED16,MED6
CCNA2+SKA3,7.051477382981518e-07,CCNA2,SKA3
MAP1LC3C+TECPR2,7.19559067481207e-07,MAP1LC3C,TECPR2
DHX16+LSM3,7.293436441376729e-07,DHX16,LSM3
UBE2D2+UBE2U,7.470290965501917e-07,UBE2D2,UBE2U
POLR2J+SF3B5,7.472544739303328e-07,POLR2J,SF3B5
PPP1R10+SHOC2,7.513488576498254e-07,PPP1R10,SHOC2
RPL36+WDR31,7.535818502024447e-07,RPL36,WDR31
IFT81+KIF3B,7.636176051846555e-07,IFT81,KIF3B
CNOT3+TNKS1BP1,7.670772477152552e-07,CNOT3,TNKS1BP1
NCAPG+SKA3,7.824781392514222e-07,NCAPG,SKA3
NOX1+TRADD,8.021318351242863e-07,NOX1,TRADD
CEBPZ+WDR12,8.086137746244525e-07,CEBPZ,WDR12
IARS2+PARS2,8.184843174372571e-07,IARS2,PARS2
LSM6+PRPF3,8.317099313918624e-07,LSM6,PRPF3
MAD2L1+PLK1,8.432542940904974e-07,MAD2L1,PLK1
CDC45+TIPIN,8.469603338158567e-07,CDC45,TIPIN
ADAMTSL5+THSD1,8.740416056864271e-07,ADAMTSL5,THSD1
EEF2+RPL11,8.766084035778425e-07,EEF2,RPL11
FANCI+RFC2,8.862465599536751e-07,FANCI,RFC2
NACA2+SF3B1,8.872988332444932e-07,NACA2,SF3B1
CDK1+SMC3,8.994949316299015e-07,CDK1,SMC3
MAD2L1+NEK2,9.223112385003944e-07,MAD2L1,NEK2
CDC27+PCGF2,9.539174889492031e-07,CDC27,PCGF2
DCAF12L1+DDB1,9.73976959998577e-07,DCAF12L1,DDB1
ABAT+ALDH3B2,1.0014138564154258e-06,ABAT,ALDH3B2
TACR1+UBQLN2,1.0162896186915642e-06,TACR1,UBQLN2
CNFN+ZDHHC13,1.0204766481237443e-06,CNFN,ZDHHC13
MRPL11+RPL24,1.0642407788827227e-06,MRPL11,RPL24
RPL12+WDR31,1.1064715458222148e-06,RPL12,WDR31
SPDL1+ZW10,1.1398610820036864e-06,SPDL1,ZW10
PSMC1+RPL23,1.1539062794925472e-06,PSMC1,RPL23
SPTB+SPTBN4,1.165179452309416e-06,SPTB,SPTBN4
RPL35+WDR31,1.1792025067325315e-06,RPL35,WDR31
UBE2K+UBE2U,1.1794087100374951e-06,UBE2K,UBE2U
CSNK1A1+SUFU,1.1937056825985698e-06,CSNK1A1,SUFU
UBE2J2+UBE2U,1.2134921415373531e-06,UBE2J2,UBE2U
AGO3+RPP40,1.2186607720950035e-06,AGO3,RPP40
LGR4+UBB,1.2358336112840971e-06,LGR4,UBB
GATA3+MYB,1.2389306890886278e-06,GATA3,MYB
HSP90AA1+MLKL,1.2651580778998275e-06,HSP90AA1,MLKL
GCKR+TMC4,1.2743467075553846e-06,GCKR,TMC4
EPN2+KDR,1.296520167176826e-06,EPN2,KDR
MYB+POLR2F,1.3093471042113128e-06,MYB,POLR2F
ARSI+ARSK,1.3523838884085544e-06,ARSI,ARSK
CD22+GAL,1.3577380717782074e-06,CD22,GAL
KIF18A+NEK2,1.3605665956939203e-06,KIF18A,NEK2
POLR2B+TAF12,1.3650368200237618e-06,POLR2B,TAF12
GALNT1+MUC21,1.369352833121686e-06,GALNT1,MUC21
AURKA+KIF14,1.3732887147483517e-06,AURKA,KIF14
AEBP1+CPA6,1.378266683566708e-06,AEBP1,CPA6
FLOT1+RAF1,1.3902355792301929e-06,FLOT1,RAF1
IPPK+PPIP5K2,1.4156947414561268e-06,IPPK,PPIP5K2
B3GALNT2+B4GALT7,1.423556529588966e-06,B3GALNT2,B4GALT7
C8G+RTP2,1.4506092820482768e-06,C8G,RTP2
DEFA3+DEFB135,1.456736491124189e-06,DEFA3,DEFB135
GLO1+PGA5,1.5045324936108685e-06,GLO1,PGA5
RPL27+WDR31,1.517344655094913e-06,RPL27,WDR31
TGFB2+TGFBR2,1.588038516396998e-06,TGFB2,TGFBR2
CCNB1+SKA3,1.6397541276186903e-06,CCNB1,SKA3
NEK2+PPP1CC,1.6403728382100156e-06,NEK2,PPP1CC
GNAI1+GNGT2,1.6475607479237198e-06,GNAI1,GNGT2
LGR4+UBC,1.6625088670138723e-06,LGR4,UBC
RPL3+WDR31,1.67432837480722e-06,RPL3,WDR31
IL5RA+PIK3CA,1.6754325260370726e-06,IL5RA,PIK3CA
FBXO33+PACRG,1.6756320662789597e-06,FBXO33,PACRG
GCKR+MEPE,1.6866192816842862e-06,GCKR,MEPE
EXOSC2+UTP18,1.6915104672736062e-06,EXOSC2,UTP18
MRPL11+RPL36,1.7118096188211707e-06,MRPL11,RPL36
RPL34+WDR31,1.7452662757130353e-06,RPL34,WDR31
CACNG8+SHISA9,1.7704328251185888e-06,CACNG8,SHISA9
SCN1B+TRPM4,1.7870818400900815e-06,SCN1B,TRPM4
RPL7A+WDR31,1.818564859219311e-06,RPL7A,WDR31
RPL6+WDR31,1.8263897673197497e-06,RPL6,WDR31
AMFR+HERPUD1,1.8275499491013864e-06,AMFR,HERPUD1
BCAS2+PRKRIP1,1.8552259097086308e-06,BCAS2,PRKRIP1
RPS18+WDR31,1.856432118973529e-06,RPS18,WDR31
C8B+C8G,1.8654948938471509e-06,C8B,C8G
DTL+HMMR,1.8672486077929708e-06,DTL,HMMR
APP+ARC,1.8718743800183311e-06,APP,ARC
KRAS+NRG3,1.8723351343163709e-06,KRAS,NRG3
DAZAP2+SLAIN1,1.889681843273003e-06,DAZAP2,SLAIN1
RPS6+WDR31,1.9145030533508123e-06,RPS6,WDR31
AK3+PDE4A,1.95548691687678e-06,AK3,PDE4A
MRPL11+WDR31,1.9771858944211026e-06,MRPL11,WDR31
UBE2D3+UBE2G1,1.9956581336021395e-06,UBE2D3,UBE2G1
KCNH6+KCNQ3,2.0081185436699924e-06,KCNH6,KCNQ3
EEF2+WDR31,2.0220694437509564e-06,EEF2,WDR31
MYB+TAL1,2.060553600733878e-06,MYB,TAL1
CDK8+MED31,2.0855266832572427e-06,CDK8,MED31
RPL7+WDR31,2.104055490602396e-06,RPL7,WDR31
ADARB2+AMPD2,2.131464092771999e-06,ADARB2,AMPD2
KCNG4+KCNH6,2.132992087683496e-06,KCNG4,KCNH6
PRKDC+UBA52,2.133680392157928e-06,PRKDC,UBA52
NPHP1+TMEM216,2.138089905496382e-06,NPHP1,TMEM216
MPV17+PIPOX,2.164717166730595e-06,MPV17,PIPOX
RPS15+WDR31,2.175612116082452e-06,RPS15,WDR31
RPL10A+WDR31,2.197298661516646e-06,RPL10A,WDR31
ATXN3+CACNA1A,2.2042588235934e-06,ATXN3,CACNA1A
NXNL2+TTC27,2.2204368536016536e-06,NXNL2,TTC27
IL34+TNFSF11,2.2576799031300247e-06,IL34,TNFSF11
MVB12A+UBAP1,2.2589048920310336e-06,MVB12A,UBAP1
DPF3+PBRM1,2.2765372619675608e-06,DPF3,PBRM1
CUL1+DTL,2.2945809126939748e-06,CUL1,DTL
RPS24+WDR31,2.3094445411923383e-06,RPS24,WDR31
CEP55+KIF14,2.321491375233419e-06,CEP55,KIF14
RPS12+WDR31,2.3314414583338183e-06,RPS12,WDR31
SEMG2+WFDC12,2.335478184991749e-06,SEMG2,WFDC12
RPL14+WDR31,2.3389800623161405e-06,RPL14,WDR31
CLNS1A+DDX20,2.3396026134125928e-06,CLNS1A,DDX20
RPL11+WDR31,2.382317111363748e-06,RPL11,WDR31
CCDC113+CCDC125,2.390515424479851e-06,CCDC113,CCDC125
CST3+CSTA,2.392415424221283e-06,CST3,CSTA
DPP4+PYY,2.396258056087748e-06,DPP4,PYY
TMCO1+TMCO2,2.3998595617740037e-06,TMCO1,TMCO2
ADH5+UGT2B4,2.422075811149155e-06,ADH5,UGT2B4
GATA1+MYB,2.4676555343360357e-06,GATA1,MYB
ADAMTS13+THSD1,2.4723393878712592e-06,ADAMTS13,THSD1
NUDT17+NUDT22,2.4817058412881896e-06,NUDT17,NUDT22
UBA52+WDR31,2.5313277328971324e-06,UBA52,WDR31
NAA38+SNRPD1,2.554759645612982e-06,NAA38,SNRPD1
KCNA4+KCNH6,2.574143786034774e-06,KCNA4,KCNH6
