Gene1,Gene2,p_value
KRAS,YWHAZ,2.8452961188704567e-11
FGA,ITIH2,1.1009650141181139e-10
ERCC8,MSH3,1.5460917425103582e-10
ARF1,WASF1,2.611255759425569e-10
KRAS,RASGRP4,4.4287217627501145e-10
BRK1,WASF1,4.589112310188602e-10
PLK1,RAD21,4.6215241852217404e-10
ACTR2,WASF1,8.391168626635873e-10
CAPN7,OXNAD1,9.327738749594794e-10
LRP1,SERPINE2,1.2935660985104424e-09
CCNB1,RRM1,2.227931885103661e-09
AURKB,HMMR,2.504133007559439e-09
HSP90AB1,KIAA1109,3.029862472993788e-09
PARP1,RFC3,3.955920926335228e-09
KRAS,SPTBN4,4.245679676000241e-09
HMGB1,IL1B,4.855020713385822e-09
BAG1,HSPA4,5.123222288321445e-09
CTNNA1,PIK3R1,5.3034825144003455e-09
PHKA1,PYGB,5.704437540081107e-09
SUPT20H,SUPT7L,7.030331276933112e-09
DEGS1,SMPD2,7.064409173989318e-09
NFKB1,NFKBID,7.9865795471046e-09
AADAT,PDE10A,8.139343949458384e-09
C4A,SERPING1,1.0200150273584656e-08
CTNNB1,KRAS,1.0857712919318289e-08
PGA5,SFTPC,1.1338045544874508e-08
NCAPH,NEK2,1.4985074729871663e-08
NUMBL,PARD3,1.73120710231805e-08
TFB2M,UTP3,2.0510537233369583e-08
CTNNA1,EXOC3,2.0994615091590093e-08
TRMT6,WDR75,2.122904258030674e-08
PSMD1,RUNX3,2.1612583365956832e-08
METTL1,N6AMT1,2.2774471574266812e-08
SLC47A2,SLCO1B1,2.51552382533878e-08
TTC27,WDR12,2.5507976926399532e-08
KIF11,MCM6,2.7391788806890898e-08
CYFIP1,WASF1,2.9055259045729457e-08
CEP55,NEK2,2.9949815437356255e-08
BMP4,RUNX2,3.0806336376765145e-08
CHTOP,THOC5,3.3946716108935374e-08
FSCN2,PRPF3,3.4029705602166346e-08
POLR2J,UBL5,3.405343922749265e-08
MRPL42,PTCD3,3.4786160252154266e-08
NT5E,NT5M,4.1471423729384194e-08
KRAS,SPTBN5,4.1534886874324274e-08
SLC47A1,SLCO1B1,4.356337310257483e-08
C3,C4A,4.5377108787357945e-08
ANGPT1,ANGPT4,4.6300957245924523e-08
MRPL11,MRPL51,4.6527996149087186e-08
ADH5,ALDH3B2,4.9274628833468446e-08
RPL31,WDR31,5.2898646833915334e-08
GCKR,NUP43,5.6909292783706545e-08
DHX9,LARP6,5.75529109187896e-08
CD44,FOXP3,5.8780837909676936e-08
BIN3,MEPCE,6.063713470004438e-08
IFT43,IFT81,6.065610377164867e-08
KIF18A,MAD2L1,6.449870722847693e-08
PRPF3,PRPF6,7.355155021548598e-08
COG3,GOLGA1,7.61092166063927e-08
LSM6,SF3B5,7.785922912940504e-08
FADD,TNFRSF10B,8.024553457470638e-08
ANLN,PLK1,8.104446587840093e-08
PIK3CD,RAF1,8.618954634433141e-08
GMNC,TOPBP1,8.620350655258079e-08
SATB2,SUMO3,9.984849776822845e-08
DDX20,NUP210,1.0294502225427457e-07
GOLGA7,KRAS,1.0347389927501114e-07
CAND1,DTL,1.1158844986449249e-07
COPB2,STT3B,1.129649034346109e-07
FAM131B,RAF1,1.1464183914221469e-07
GTF2F2,HNRNPR,1.1760347985818649e-07
POLDIP3,THOC5,1.203476289452042e-07
C8G,LCN1,1.2150005538527186e-07
CDC20,NEK2,1.2544022365850136e-07
TTC7B,WTIP,1.2700094279294374e-07
PLK1,TPX2,1.3641600197771046e-07
ARID4B,MTA3,1.377320480959996e-07
CAMK2B,KRAS,1.3855146022019742e-07
GRM1,TRPC1,1.396825740916247e-07
AMDHD1,UROC1,1.4774375848711774e-07
B3GNT6,GCNT3,1.505137854173738e-07
NCAPD2,NDC80,1.5335555417342074e-07
CUL4B,DCUN1D4,1.57184439633405e-07
MRPL11,RPL31,1.6325703454656178e-07
PAPSS1,SUOX,1.638769738299685e-07
ANK1,OBSCN,1.6715522987937012e-07
SRSF3,THOC5,1.6741739561355229e-07
CCNB3,KIF11,1.7355400012992733e-07
RPL13,RPS18,1.894493803029139e-07
LGR4,UBA52,1.994936428380773e-07
INPP5D,RAF1,2.0080264505094674e-07
C4A,MBL2,2.0559434462968245e-07
PSMA8,PSMC1,2.1449830769247185e-07
BMP4,RGMA,2.1980426744280653e-07
ATRIP,TOPBP1,2.348426545769799e-07
ERCC8,RBBP5,2.4379674743543714e-07
SPON1,THSD1,2.466349756805405e-07
RBBP7,SUFU,2.4757892710954097e-07
COQ2,COQ9,2.5032508014015424e-07
MKI67,NEK2,2.530880742483609e-07
INSR,PTPRA,2.547172484760023e-07
DDX1,TSEN15,2.5502845631915125e-07
CGA,INHBB,2.565588919906646e-07
IQGAP1,LGR4,2.5926457137331925e-07
ADAMTS4,THSD1,2.6318954427138544e-07
NDUFA12,SDHB,2.6448439447076477e-07
MAGT1,STT3B,2.697255821822088e-07
GORASP2,PLK1,2.7039002207841117e-07
RAD51C,RFC1,2.7540707379719e-07
MAP3K12,MBIP,3.009075957122193e-07
LSM3,RBM25,3.031073629267657e-07
SEMA5B,THSD1,3.255374420706327e-07
C4A,C8B,3.2914686764876373e-07
EIF3A,EIF4G3,3.475207169116341e-07
HNRNPK,HNRNPR,3.517525955695997e-07
RBM39,SREK1,3.7189184051183113e-07
EPHA3,EPHA6,3.787543961538906e-07
ARSK,SUMF2,3.825791796364469e-07
