Gene1,Gene2,p_value
PLK1,RAD21,4.6215241852217404e-10
NCAPH,NEK2,1.4985074729871663e-08
CEP55,NEK2,2.9949815437356255e-08
MRPL11,MRPL51,4.6527996149087186e-08
RPL31,WDR31,5.2898646833915334e-08
ANLN,PLK1,8.104446587840093e-08
PIK3CD,RAF1,8.618954634433141e-08
DDX20,NUP210,1.0294502225427457e-07
FAM131B,RAF1,1.1464183914221469e-07
CDC20,NEK2,1.2544022365850136e-07
PLK1,TPX2,1.3641600197771046e-07
MRPL11,RPL31,1.6325703454656178e-07
INPP5D,RAF1,2.0080264505094674e-07
PSMA8,PSMC1,2.1449830769247185e-07
MKI67,NEK2,2.530880742483609e-07
GORASP2,PLK1,2.7039002207841117e-07
RPL24,WDR31,5.779037753771162e-07
PSMB1,PSMC1,5.99101724433283e-07
DDX20,SNRPG,6.16981161995282e-07
MRPL11,RPL23,6.875693706270956e-07
RPL36,WDR31,7.535818502024447e-07
MAD2L1,PLK1,8.432542940904974e-07
MAD2L1,NEK2,9.223112385003944e-07
MRPL11,RPL24,1.0642407788827227e-06
RPL12,WDR31,1.1064715458222148e-06
PSMC1,RPL23,1.1539062794925472e-06
RPL35,WDR31,1.1792025067325315e-06
KIF18A,NEK2,1.3605665956939203e-06
AURKA,KIF14,1.3732887147483517e-06
FLOT1,RAF1,1.3902355792301929e-06
RPL27,WDR31,1.517344655094913e-06
NEK2,PPP1CC,1.6403728382100156e-06
RPL3,WDR31,1.67432837480722e-06
MRPL11,RPL36,1.7118096188211707e-06
RPL34,WDR31,1.7452662757130353e-06
RPL7A,WDR31,1.818564859219311e-06
RPL6,WDR31,1.8263897673197497e-06
RPS18,WDR31,1.856432118973529e-06
RPS6,WDR31,1.9145030533508123e-06
MRPL11,WDR31,1.9771858944211026e-06
EEF2,WDR31,2.0220694437509564e-06
RPL7,WDR31,2.104055490602396e-06
RPS15,WDR31,2.175612116082452e-06
RPL10A,WDR31,2.197298661516646e-06
RPS24,WDR31,2.3094445411923383e-06
CEP55,KIF14,2.321491375233419e-06
RPS12,WDR31,2.3314414583338183e-06
RPL14,WDR31,2.3389800623161405e-06
CLNS1A,DDX20,2.3396026134125928e-06
RPL11,WDR31,2.382317111363748e-06
UBA52,WDR31,2.5313277328971324e-06
RPLP0,WDR31,2.673645327495182e-06
MRPL11,RPL35,2.7450470807493083e-06
