edge,p_value,Gene1,Gene2
PLK1+RAD21,4.6215241852217404e-10,PLK1,RAD21
ANLN+PLK1,8.104446587840093e-08,ANLN,PLK1
PLK1+TPX2,1.3641600197771046e-07,PLK1,TPX2
GORASP2+PLK1,2.7039002207841117e-07,GORASP2,PLK1
MAD2L1+PLK1,8.432542940904974e-07,MAD2L1,PLK1
PLK1+RRM2,5.9523480564777024e-06,PLK1,RRM2
CKS2+PLK1,1.843033382302883e-05,CKS2,PLK1
CDC14A+PLK1,2.4565028019572708e-05,CDC14A,PLK1
PLK1+TK1,3.291982645183507e-05,PLK1,TK1
PLK1+RAB1A,3.608026098056094e-05,PLK1,RAB1A
PLK1+UBE2C,5.005359783705015e-05,PLK1,UBE2C
MAD2L1BP+PLK1,6.046968906162976e-05,MAD2L1BP,PLK1
FOXM1+PLK1,7.726547433809193e-05,FOXM1,PLK1
PLK1+YWHAZ,0.0001158754325081,PLK1,YWHAZ
GORASP1+PLK1,0.0002038839595387,GORASP1,PLK1
MCM2+PLK1,0.0003512269532012,MCM2,PLK1
MCM3+PLK1,0.0008447566111485,MCM3,PLK1
PLK1+TOPORS,0.0012432147313444,PLK1,TOPORS
MELK+PLK1,0.00201790422095,MELK,PLK1
PLK1+RCC1,0.0024480083023563,PLK1,RCC1
DBF4+PLK1,0.0033348455108831,DBF4,PLK1
MYBL2+PLK1,0.0207655445018806,MYBL2,PLK1
